inverter_id,median_p_norm,std_p_norm,mean_p_norm,pdc_kwp,module_type,inverter_group,capacity_band,sample_count,peer_key,peer_median,peer_delta,stability_score,baseline_excluded
INV 01.01.001,0.4176960739434934,0.18936717328990035,0.4389082093607223,30.6,Module Type 1,INV 01.01,standard,21485,Module Type 1,0.39849674000459556,0.019199333938897833,0.18936717328990035,False
INV 01.01.002,0.4034656792684318,0.19080097448475924,0.4263599372677853,30.6,Module Type 1,INV 01.01,standard,21478,Module Type 1,0.39849674000459556,0.004968939263836236,0.19080097448475924,False
INV 01.01.003,0.39821241416183173,0.19960539927581902,0.42135218017499687,30.6,Module Type 1,INV 01.01,standard,21421,Module Type 1,0.39849674000459556,-0.0002843258427638329,0.19960539927581902,False
INV 01.01.004,0.4182884116577946,0.2718889172474875,0.46603788337036844,24.48,Module Type 1,INV 01.01,medium,21393,Module Type 1,0.39849674000459556,0.01979167165319906,0.2718889172474875,False
INV 01.01.005,0.3715588376412984,0.19602373196227446,0.4085087615751053,30.6,Module Type 1,INV 01.01,standard,21463,Module Type 1,0.39849674000459556,-0.026937902363297184,0.19602373196227446,False
INV 01.01.006,0.41539868498160165,0.18957427203121255,0.43664849602931605,30.6,Module Type 1,INV 01.01,standard,21485,Module Type 1,0.39849674000459556,0.01690194497700609,0.18957427203121255,False
INV 01.01.007,0.35014380037395004,0.20604204490942882,0.3886902484175107,30.6,Module Type 1,INV 01.01,standard,21425,Module Type 1,0.39849674000459556,-0.04835293963064552,0.20604204490942882,False
INV 01.02.008,0.41897547790427614,0.18840625634334088,0.4399592543835039,30.6,Module Type 1,INV 01.02,standard,21484,Module Type 1,0.39849674000459556,0.020478737899680577,0.18840625634334088,False
INV 01.02.009,0.41358823090596913,0.18964378417899588,0.43497826905474934,30.6,Module Type 1,INV 01.02,standard,21478,Module Type 1,0.39849674000459556,0.015091490901373572,0.18964378417899588,False
INV 01.02.010,0.39849674000459556,0.1988550777198301,0.42195507309703384,30.6,Module Type 1,INV 01.02,standard,21435,Module Type 1,0.39849674000459556,0.0,0.1988550777198301,False
INV 01.02.011,0.3384967255436517,0.21642896617501575,0.37522920529105164,30.6,Module Type 1,INV 01.02,standard,21395,Module Type 1,0.39849674000459556,-0.060000014460943885,0.21642896617501575,False
INV 01.02.012,0.41231373556299145,0.1895508385567779,0.4338212310170904,30.6,Module Type 1,INV 01.02,standard,21485,Module Type 1,0.39849674000459556,0.013816995558395884,0.1895508385567779,False
INV 01.02.013,0.3703921448950674,0.19835691156619262,0.4026032938601944,30.6,Module Type 1,INV 01.02,standard,21426,Module Type 1,0.39849674000459556,-0.028104595109528174,0.19835691156619262,False
INV 01.02.014,0.3621339797973633,0.19590908377848298,0.4041886016076134,30.6,Module Type 1,INV 01.02,standard,21455,Module Type 1,0.39849674000459556,-0.03636276020723228,0.19590908377848298,False
INV 01.03.015,0.41271333694458007,0.1970249887339054,0.43570424661893187,30.0,Module Type 2,INV 01.03,standard,21490,Module Type 2,0.40333166122436526,0.00938167572021481,0.1970249887339054,False
INV 01.03.016,0.40333166122436526,0.19878731997674046,0.42752872470824904,30.0,Module Type 2,INV 01.03,standard,21452,Module Type 2,0.40333166122436526,0.0,0.19878731997674046,False
INV 01.03.017,0.3920666535695394,0.2051430126482076,0.4180219858219115,30.0,Module Type 2,INV 01.03,standard,21288,Module Type 2,0.40333166122436526,-0.011265007654825854,0.2051430126482076,False
INV 01.03.018,0.33014833132425947,0.21934819497065006,0.37216621201254846,30.0,Module Type 2,INV 01.03,standard,21132,Module Type 2,0.40333166122436526,-0.07318332990010579,0.21934819497065006,False
INV 01.03.019,0.4094366709391276,0.19668967008243293,0.432499805112678,30.0,Module Type 2,INV 01.03,standard,21477,Module Type 2,0.40333166122436526,0.006105009714762355,0.19668967008243293,False
INV 01.03.020,0.3564099947611491,0.2092448792545843,0.3964928128998702,30.0,Module Type 2,INV 01.03,standard,21343,Module Type 2,0.40333166122436526,-0.04692166646321616,0.2092448792545843,False
INV 01.03.021,0.3782696038289787,0.19464703423038218,0.4103722052784587,30.6,Module Type 1,INV 01.03,standard,21374,Module Type 1,0.39849674000459556,-0.02022713617561689,0.19464703423038218,False
INV 01.04.022,0.43863120653950577,0.20512385229261415,0.46211006926521764,28.2,Module Type 5,INV 01.04,standard,21497,Module Type 5,0.42506560366204443,0.013565602877461336,0.20512385229261415,False
INV 01.04.023,0.4326790782576757,0.20566275669249365,0.45662882166017715,28.2,Module Type 5,INV 01.04,standard,21470,Module Type 5,0.42506560366204443,0.0076134745956312755,0.20566275669249365,False
INV 01.04.024,0.41745212906641316,0.21375212018291276,0.4437649814126643,28.2,Module Type 5,INV 01.04,standard,21292,Module Type 5,0.42506560366204443,-0.0076134745956312755,0.21375212018291276,False
INV 01.04.025,0.35644149103908673,0.22997532064865658,0.3968660376915138,28.2,Module Type 5,INV 01.04,standard,21192,Module Type 5,0.42506560366204443,-0.0686241126229577,0.22997532064865658,False
INV 01.04.026,0.6413138707478842,0.3348825783990672,0.693045012390548,18.0,Module Type 2,INV 01.04,small,21430,Module Type 2,0.40333166122436526,0.2379822095235189,0.3348825783990672,True
INV 01.04.027,0.4763690387310625,0.2551771648317515,0.5226531075831887,23.52,Module Type 3,INV 01.04,medium,21463,Module Type 3,0.41058503040651073,0.06578400832455178,0.2551771648317515,False
INV 01.04.028,0.3932091816752946,0.20107145999490075,0.4251827278060526,29.4,Module Type 3,INV 01.04,standard,21444,Module Type 3,0.41058503040651073,-0.017375848731216115,0.20107145999490075,False
INV 01.05.029,0.40087153514226276,0.20402282293731686,0.4329953151452715,28.8,Module Type 6,INV 01.05,standard,21467,INV 01.05:standard,0.3937087811921772,0.007162753950085532,0.20402282293731686,False
INV 01.05.030,1.0467198723596884,0.3020719447286452,0.9764713255887125,5.64,Module Type 7,INV 01.05,tiny,5339,Module Type 7,0.4303209325100513,0.6163989398496371,0.3020719447286452,True
INV 01.05.031,0.38980209165149265,0.2056467020050324,0.4251144434164315,28.8,Module Type 6,INV 01.05,standard,21053,INV 01.05:standard,0.3937087811921772,-0.003906689540684571,0.2056467020050324,False
INV 01.05.032,0.39832561047046217,0.21081853681986598,0.4330231157095199,21.56,Module Type 9,INV 01.05,medium,21446,INV 01.05:medium,0.39832561047046217,0.0,0.21081853681986598,False
INV 01.05.033,0.3937087811921772,0.19887391465671506,0.42282877607265795,28.5,Module Type 13,INV 01.05,standard,21503,INV 01.05:standard,0.3937087811921772,0.0,0.19887391465671506,False
INV 01.05.034,0.42796087913772685,0.19618494217998603,0.4485004794891076,29.4,Module Type 3,INV 01.05,standard,21502,Module Type 3,0.41058503040651073,0.017375848731216115,0.19618494217998603,False
INV 01.05.035,0.39019047808484963,0.2014512815605667,0.42301799605679896,29.4,Module Type 3,INV 01.05,standard,21464,Module Type 3,0.41058503040651073,-0.020394552321661097,0.2014512815605667,False
INV 01.06.036,0.41812416774774686,0.19175263413678723,0.4395241191186563,30.6,Module Type 1,INV 01.06,standard,21919,Module Type 1,0.39849674000459556,0.019627427743151293,0.19175263413678723,False
INV 01.06.037,0.4058839916403777,0.1931727234625298,0.42897838307007985,30.6,Module Type 1,INV 01.06,standard,21932,Module Type 1,0.39849674000459556,0.007387251635782133,0.1931727234625298,False
INV 01.06.038,0.3914967393563464,0.20187793715004407,0.4158462783387327,30.6,Module Type 1,INV 01.06,standard,21873,Module Type 1,0.39849674000459556,-0.007000000648249183,0.20187793715004407,False
INV 01.06.039,0.3372451059179368,0.21828781162554345,0.3745013081059623,30.6,Module Type 1,INV 01.06,standard,21839,Module Type 1,0.39849674000459556,-0.061251634086658735,0.21828781162554345,False
INV 01.06.040,0.5275040670158037,0.23809172054345734,0.5540915364532359,24.48,Module Type 1,INV 01.06,medium,21931,Module Type 1,0.39849674000459556,0.1290073270112081,0.23809172054345734,False
INV 01.06.041,0.4168431431639428,0.19358636306477492,0.43826056879917463,30.6,Module Type 1,INV 01.06,standard,21926,Module Type 1,0.39849674000459556,0.018346403159347213,0.19358636306477492,False
INV 01.06.042,0.385898702284869,0.20151958039228746,0.41087392968346514,30.6,Module Type 1,INV 01.06,standard,21853,Module Type 1,0.39849674000459556,-0.012598037719726562,0.20151958039228746,False
INV 01.06.043,0.3365195966234394,0.21894460102273153,0.37453180908585443,30.6,Module Type 1,INV 01.06,standard,21843,Module Type 1,0.39849674000459556,-0.061977143381156174,0.21894460102273153,False
INV 01.07.044,0.4438120591725018,0.19900850388527597,0.4672432667581477,28.2,Module Type 11,INV 01.07,standard,21929,Module Type 11,0.4812078991680281,-0.03739583999552626,0.19900850388527597,False
INV 01.07.045,0.43633511725892415,0.20009606069430338,0.45956960482859965,28.2,Module Type 11,INV 01.07,standard,21924,Module Type 11,0.4812078991680281,-0.04487278190910393,0.20009606069430338,False
INV 01.07.046,0.42106738327242804,0.21013850693876515,0.44436025007058,28.2,Module Type 11,INV 01.07,standard,21884,Module Type 11,0.4812078991680281,-0.060140515895600044,0.21013850693876515,False
INV 01.07.047,0.35491490194983516,0.227571695532514,0.39403212381212144,28.2,Module Type 11,INV 01.07,standard,21856,Module Type 11,0.4812078991680281,-0.12629299721819293,0.227571695532514,True
INV 01.07.048,0.5597517845478464,0.2496704455787163,0.5876127114809057,22.56,Module Type 11,INV 01.07,medium,21929,Module Type 11,0.4812078991680281,0.07854388537981827,0.2496704455787163,False
INV 01.07.049,0.6917375762975525,0.3011809100590803,0.7245368347814288,16.92,Module Type 11,INV 01.07,small,19977,Module Type 11,0.4812078991680281,0.21052967712952442,0.3011809100590803,False
INV 01.07.050,0.5186037391635543,0.26182273902354297,0.550418475819047,22.56,Module Type 11,INV 01.07,medium,21883,Module Type 11,0.4812078991680281,0.0373958399955262,0.26182273902354297,False
INV 01.07.051,0.5608628827629359,0.34591584768330674,0.6174243507911702,16.92,Module Type 11,INV 01.07,small,20348,Module Type 11,0.4812078991680281,0.07965498359490786,0.34591584768330674,True
INV 01.08.052,0.6274334534450813,0.3161874700692006,0.675117464727632,17.28,Module Type 10,INV 01.08,small,20976,INV 01.08:small,0.6274334534450813,0.0,0.3161874700692006,True
INV 01.08.053,0.4045869647592738,0.20900506126592636,0.4371148181920911,27.6,Module Type 12,INV 01.08,standard,22046,INV 01.08:standard,0.4045869647592738,0.0,0.20900506126592636,False
INV 01.08.054,0.4431560360793526,0.20279984746961371,0.46492897937884436,28.2,Module Type 7,INV 01.08,standard,22076,Module Type 7,0.4303209325100513,0.012835103569301287,0.20279984746961371,False
INV 01.08.055,0.4381879508918059,0.20504213708986105,0.4604476948565033,28.2,Module Type 7,INV 01.08,standard,22069,Module Type 7,0.4303209325100513,0.007867018381754576,0.20504213708986105,False
INV 01.08.056,0.42245391412829675,0.21288611574872798,0.4473172951736755,28.2,Module Type 7,INV 01.08,standard,21915,Module Type 7,0.4303209325100513,-0.007867018381754576,0.21288611574872798,False
INV 01.08.057,0.35845744694378356,0.22936941727829444,0.3973566968995959,28.2,Module Type 7,INV 01.08,standard,21826,Module Type 7,0.4303209325100513,-0.07186348556626776,0.22936941727829444,False
INV 01.08.058,0.406680851117939,0.20761973968711447,0.4381554303842589,28.2,Module Type 7,INV 01.08,standard,21809,Module Type 7,0.4303209325100513,-0.023640081392112322,0.20761973968711447,False
INV 01.08.059,0.6352113640826682,0.3055553661134291,0.6823030738649987,16.56,Module Type 8,INV 01.08,small,19903,Module Type 8,0.4407717352328093,0.19443962884985888,0.3055553661134291,True
INV 01.09.060,0.4469039820242619,0.2074204687844411,0.4703847034240281,27.6,Module Type 8,INV 01.09,standard,22078,Module Type 8,0.4407717352328093,0.006132246791452578,0.2074204687844411,False
INV 01.09.061,0.4407717352328093,0.20784689845096085,0.4646177864469747,27.6,Module Type 8,INV 01.09,standard,22062,Module Type 8,0.4407717352328093,0.0,0.20784689845096085,False
INV 01.09.062,0.42768115582673444,0.2159463040810871,0.4517873207886491,27.6,Module Type 8,INV 01.09,standard,21935,Module Type 8,0.4407717352328093,-0.013090579406074887,0.2159463040810871,False
INV 01.09.063,0.36437680755836377,0.2326204610906189,0.40372923179126474,27.6,Module Type 8,INV 01.09,standard,21965,Module Type 8,0.4407717352328093,-0.07639492767444556,0.2326204610906189,False
INV 01.09.064,0.44381340344746906,0.20721936927256931,0.4669500469220456,27.6,Module Type 8,INV 01.09,standard,22068,Module Type 8,0.4407717352328093,0.003041668214659732,0.20721936927256931,False
INV 01.09.065,0.38355614828026807,0.2188894100553938,0.42681370235482835,27.6,Module Type 8,INV 01.09,standard,21912,Module Type 8,0.4407717352328093,-0.05721558695254125,0.2188894100553938,False
